"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"234","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Ambivalent","Definitely","Definitely","Definitely","Good","Good","Very good","Very good","Very good","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Good","Very Good","Very Good","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","6","3","Yes","4","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Good","Good","Very good","Very good","Good","Very good","Agree","Agree","Ambivalent","Ambivalent","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"235","College C","STEM","Excellent","Fair","Good","Agree","Agree","Ambivalent","Strongly Agree","Probably not","Definitely","Definitely","Good","Very good","Good","Very good","Excellent","Excellent","Very good","I don't remember",NA,"No","No","Poor","Very Good","Very Good","Very Good","Good","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","No","Yes","Very helpful","1","5","No","1","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably not","Definitely","Definitely","Good","Good","Good","Good","Excellent","Very good","Very good","Agree","Agree","Disagree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"236","College B","STEM","Fair","Poor","Fair","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Definitely not","Definitely","Definitely not","Good","Poor","Fair","Poor","Poor","Poor","Poor","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Good","Fair","Fair","Very Good","Very Good","Very helpful","Not at all helpful","Not at all helpful","Not very helpful","Not at all helpful","Not at all helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Somewhat helpful","No","Yes","Very helpful","9","10","Yes","3","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely not","Definitely","Definitely not","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,4,"Non-Underrespresented Group"
"237","College C","STEM","Very good","Excellent","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Probably","Probably","Definitely","Good","Good","Good","Very good","Very good","Good","Very good","I don't remember",NA,"Yes","No","Very Good","Excellent","Very Good","Very Good","Very Good","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Very helpful","No","Yes","Very helpful","8","6","Yes","1","2","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Computer and Mathematical Occupations","Yes","Probably","Probably","Definitely","Good","Good","Fair","Very good","Very good","Good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"238","College B","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably","Maybe","Probably","Poor","Poor","Very good","Very good","Excellent","Very good","Very good","I don't remember",NA,"Yes","Yes","Excellent","Good","Excellent","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","No",NA,"12","1","Yes","5","1","Other full-time degree program (e.g., MD, DDS, JD, MBA, etc.)","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Maybe","Probably","Poor","Poor","Very good","Very good","Excellent","Very good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle",1,2,2,5,"Non-Underrespresented Group"
"239","College C","STEM","Very good","Excellent","Excellent","Agree","Agree","Ambivalent","Strongly Agree","Definitely","Definitely","Probably","Very good","Good","Fair","Excellent","Fair","Poor","Very good","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Excellent","Very Good","N/A","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Not at all helpful","Not at all helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","0","8","Yes","0","0","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Probably","Excellent","Very good","Very good","Very good","Fair","Poor","Very good","Strongly Agree","Strongly Agree","Ambivalent","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"240","College C","STEM","Very good","Good","Good","Ambivalent","Agree","Agree","Agree","Probably","Maybe","Probably","Excellent","Very good","Very good","Very good","Good","Poor","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Good","Very Good","Good","Good","Very Good","Very helpful","Very helpful","Very helpful","Not at all helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","Yes","Very helpful","10","5","Yes","4","1","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Very good","Very good","Good","Good","Poor","Poor","Good","Ambivalent","Ambivalent","Agree","Ambivalent","A major obstacle","A major obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,1,"Non-Underrespresented Group"
"241","College C","STEM","Very good","Very good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Probably","Definitely","Probably","Fair","Good","Excellent","Excellent","Very good","Very good","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Excellent","Very Good","Very Good","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","5","8","Yes","3","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","No","Probably","Definitely","Probably","Fair","Good","Excellent","Excellent","Very good","Excellent","Very good","Agree","Agree","Agree","Agree","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"242","College C","STEM","Very good","Good","Good","Ambivalent","Ambivalent","Agree","Agree","Probably","Definitely","Probably","Good","Fair","Fair","Very good","Excellent","Excellent","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Very Good","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Very helpful","No","Yes","Very helpful","10","5","Yes","6","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Good","Fair","Good","Good","Very good","Very good","Good","Ambivalent","Ambivalent","Agree","Agree","Not an obstacle",NA,"A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"243","College C","Non-STEM","Very good","Fair","Good","Agree","Agree","Ambivalent","Agree","Probably","Definitely","Maybe","Fair","Good","Excellent","Very good","Poor","Poor","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Good","Fair","Fair","Fair","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Yes","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","No","No",NA,"0","2","Yes","1","1","Seeking position but have no specific prospects","Education",NA,"Education, Training, and Library Occupations","Yes","Probably","Probably","Probably","Good","Good","Good","Good","Fair","Fair","Good","Agree","Agree","Ambivalent","Agree","A major obstacle","A minor obstacle","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"244","College C","STEM","Very good","Good","Good","Agree","Agree","Agree","Ambivalent","Probably","Definitely","Maybe","Good","Good","Fair","Good","Good","Poor","Good","Yes, but I did not attend",NA,"Yes","No","Good","Fair","Poor","Fair","N/A","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","No",NA,"1","1","No","1","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education",NA,"Education, Training, and Library Occupations","Yes","Maybe","Definitely","Maybe","Good","Good","Fair","Good","Good","Poor","Good","Agree","Agree","Agree","Agree","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"245","College C","STEM","Very good","Very good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Probably","Fair","Good","Good","Good","Very good","Excellent","Very good","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Very Good","Very Good","Very Good","Excellent","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","No","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","16","7","Yes","10","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Fair","Good","Very good","Good","Very good","Very good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"246","College F","STEM","Fair","Excellent","Very good","Ambivalent","Agree","Strongly Agree","Strongly Agree","Maybe","Definitely","Probably","Fair","Very good","Good","Fair","Excellent","Good","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Very Good","Very Good","Very Good","Very Good","Good","Somewhat helpful","Somewhat helpful","Not very helpful","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","7","3","Yes","3","1","Seeking position but have no specific prospects",NA,NA,NA,NA,"Maybe","Definitely","Probably","Fair","Good","Good","Fair","Excellent","Good","Good","Ambivalent","Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"247","College C","Non-STEM","Very good","Good","Good","Strongly Agree","Agree","Agree","Agree","Probably","Probably","Maybe","Very good","Excellent","Good","Good","Very good","Good","Good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Very Good","N/A","Very Good","N/A","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Very helpful","No","No",NA,"4","8","Yes","3","0","Seeking position but have no specific prospects","Other",NA,NA,NA,"Probably","Maybe","Maybe","Very good","Excellent","Good","Good","Very good","Fair","Very good","Strongly Agree","Agree","Agree","Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"248","College F","STEM","Very good","Excellent","Very good","Agree","Agree","Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Good","Very good","Excellent","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Excellent","Excellent","Excellent","Excellent","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","4","6","Yes","5","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Technology","Computer and Electronic Product Manufacturing","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Very good","Good","Very good","Excellent","Good","Very good","Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"249","College B","STEM","Excellent","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Probably","Very good","Very good","Very good","Excellent","Very good","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Excellent","N/A","N/A","Excellent","N/A",NA,"Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","No",NA,"1","8","Yes","9","1","Returning to, or continuing in, predoctoral employment","Research, Consulting, and Legal Services",NA,"Scientists, Social Scientists","Yes","Definitely","Definitely","Probably","Very good","Very good","Very good","Very good","Very good",NA,"Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"250","College G","STEM","Excellent","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Excellent","Fair","Excellent","Very good","Good","Excellent","I don't remember",NA,"Yes","Yes","Good","Good","Very Good","Very Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Very helpful","No","Yes","Very helpful","2","9","Yes","49","5","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","Medical school or other professional school","Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Excellent","Excellent","Good","Excellent","Good","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"251","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Definitely","Definitely","Definitely","Very good","Very good","Excellent","Excellent","Very good","Very good","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Good","Excellent","Excellent","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","6","3","Yes","4","1","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,NA,"Yes","Definitely","Definitely","Definitely","Very good","Excellent","Very good","Excellent","Excellent","Very good","Excellent","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not applicable","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"252","College C","STEM","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Maybe","Probably","Maybe","Good","Excellent","Excellent","Very good","Very good","Very good","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Very helpful","Very helpful","N/A - I did not receive advice on this","Yes","Somewhat helpful","No","Yes","Very helpful","6","25","Yes","8","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Computer and Mathematical Occupations","Yes","Maybe","Probably","Maybe","Good","Excellent","Excellent","Excellent","Very good","Very good","Good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"253","College F","STEM","Excellent","Very good","Excellent","Agree","Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Very good","Very good","Very good","Fair","Fair","Very good","Yes, and I attended","Very Effective","Yes","Yes","Very Good","Very Good","Very Good","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","Yes","Yes","Very helpful","3","3","Yes","3","0","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Architecture and Engineering Occupations","Yes","Definitely","Definitely","Definitely","Very good","Very good","Very good","Very good","Fair","Fair","Very good","Agree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A major obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"254","College B","STEM","Good","Excellent","Very good","Agree","Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Very good","Very good","Very good","Excellent","Good","Excellent","Yes, and I attended","Very Effective","Yes","Yes","Very Good","Very Good","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Not very helpful","No","No",NA,"5","10","Yes","1","3","Other - Specify:","Technology",NA,"Scientists, Social Scientists","Yes","Probably","Probably","Probably","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Strongly Agree","Agree","Strongly Agree","Strongly Agree","A major obstacle","A major obstacle","A major obstacle","A major obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"255","College E","Non-STEM","Excellent","Good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Maybe","Probably","Maybe","Good","Very good","Excellent","Very good","Very good","Very good","Very good","No",NA,"Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","No",NA,"Yes","Yes","Very helpful","0","25","Yes","13","5","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Maybe","Probably","Maybe","Good","Excellent","Excellent","Very good","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"256","College C","Non-STEM","Fair","Very good","Good","Ambivalent","Agree","Agree","Agree","Definitely not","Maybe","Maybe","Good","Good","Poor","Poor","Good","Fair","Fair","No",NA,"No","No","Poor","Excellent","Poor","Very Good","Good","Somewhat helpful","Not very helpful","Not very helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Yes","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","Yes","No",NA,"2","6","No","4","0","Seeking position but have no specific prospects",NA,NA,NA,NA,"Definitely not","Maybe","Maybe","Good","Good","Poor","Poor","Fair","Fair","Fair","Ambivalent","Agree","Agree","Agree","Not applicable","Not an obstacle","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"257","College B","STEM","Excellent","Excellent","Excellent","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","5","8","Yes","3","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not applicable","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"258","College F","STEM","Excellent","Good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Probably","Definitely","Very good","Very good","Excellent","Very good","Excellent","Excellent","Excellent","I don't remember",NA,"Yes","Yes","Good","Very Good","Excellent","Excellent","Excellent","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Yes","Not very helpful","Yes","Yes","Very helpful","5","6","Yes","8","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Computer and Mathematical Occupations","Yes","Maybe","Definitely","Definitely","Very good","Very good","Very good","Very good","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"259","College G","STEM","Very good","Good","Very good","Agree","Agree","Agree","Agree","Probably","Probably","Definitely","Very good","Very good","Good","Excellent","Fair","Very good","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Fair","Very Good","Poor","Good","N/A","Somewhat helpful","Very helpful","Very helpful","Not very helpful","Not very helpful","Not very helpful","Yes","Yes","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","No","No",NA,"0","15","No","18","4","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Definitely","Very good","Very good","Fair","Very good","Fair","Very good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"260","College B","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Very good","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"No","No",NA,"5","2","Yes","3","2","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"261","College C","Non-STEM","Excellent","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Probably","Maybe","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","No","Poor","Excellent","Excellent","Fair","N/A","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","No",NA,"2","10","Yes","3","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education",NA,"Education, Training, and Library Occupations","Yes","Probably","Probably","Maybe","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"262","College C","STEM","Very good","Good","Very good","Agree","Agree","Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Excellent","Excellent","Fair","Excellent","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Fair","Good","Good","N/A","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Yes","Somewhat helpful","Yes","Yes","Very helpful","approximately 10","0","Not applicable","0","5","Returning to, or continuing in, predoctoral employment","Research, Consulting, and Legal Services","Consulting Services (Economics, Physics, Biological, Chemical, Environmental, Energy, etc.)","Finance Professional","Yes","Probably","Definitely","Probably","Very good","Very good","Excellent","Good","Fair","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"263","College B","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably","Maybe","Probably","Very good","Very good","Very good","Good","Very good","Good","Very good","Yes, and I attended","Somewhat Effective","No","No","Very Good","Very Good","Very Good","Very Good","Very Good","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Yes","No","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","Very helpful","No",NA,"No","No",NA,"5","8","Yes","1","2","Seeking position but have no specific prospects","Research, Consulting, and Legal Services",NA,"Scientists, Social Scientists","Yes","Probably","Maybe","Probably","Very good","Very good","Very good","Good","Very good","Good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
